object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
HR 1,114.44423915578012,-16.87871988699063,524.3650330612977,6.71,Star
HR 2,98.32774550604948,-61.13981403979543,473.36281873389805,6.298,Star
HR 3,93.75430206514777,-65.93273594171461,138.70028270919937,4.61,Star
HR 4,106.18635665125565,-47.98277894326556,389.8080778961395,5.537,Star
HR 5,117.03445941014809,-3.9168028726090975,0.0,0.0,Star
HR 6,321.58716315425403,-66.38664333573935,85.43160771320115,5.76,Star
HR 7,118.05862224451499,1.750984236944766,973.8523895570193,5.59,Star
HR 8,111.26359946829689,-32.832592623337106,44.9195609615874,6.07,Star
HR 9,52.205598793073804,-79.13840352422237,129.27403723745272,6.173,Star
HR 10,74.35669653971222,-75.90256004652099,381.583175082234,6.203,Star
HR 11,98.02033568523184,-63.28686706009714,723.5371543678766,6.43,Star
HR 12,55.563405835442445,-79.07608057933797,278.0842979048388,5.923,Star
HR 13,355.9119225763802,-78.67104605674928,314.21350961239114,5.662,Star
HR 14,98.34427386332408,-63.23662305605995,1274.249262697519,6.22,Star
HR 15,111.73222781647081,-32.843356747293875,0.0,2.06,Star
HR 16,91.79321135190965,-69.04542450625962,363.42936545915836,5.98,Star
HR 17,113.44307859580918,-25.45559350907327,106.33823152341398,0.0,Star
HR 18,74.69223948223932,-76.24812491073705,1344.6073903373833,6.13,Star
HR 19,110.97342849839973,-36.41830776824298,445.582612341964,6.246,Star
HR 20,120.97734096895074,17.002930497895356,0.0,0.0,Star
HR 21,117.52807600174054,-3.2778548339449665,0.0,2.27,Star
HR 22,108.99141959587124,-43.50917637935582,298.9595019840004,5.555,Star
HR 23,316.25314316668903,-62.01609609724572,658.5684347130351,6.33,Star
HR 24,25.241747868143964,-80.63549827967528,0.0,0.0,Star
HR 25,324.3373984450509,-69.59450734199234,141.10514240073294,3.87,Star
HR 26,106.86728181695237,-50.43008133802494,298.0977968341317,5.53,Star
HR 27,115.52468765567691,-16.207277178362975,1497.3676221762341,5.04,Star
HR 28,117.37931283867599,-5.264205345022951,612.9720992677318,6.72,Star
HR 29,96.99237880034846,-66.027350032644,189.30605395951142,5.844,Star
HR 30,304.62766926415776,-34.76742287728558,261.48348187415525,5.283,Star
HR 31,87.69148728499131,-72.6035580698433,236.26751692365477,5.849,Star
HR 32,306.97745163344206,-43.58199156778795,206.27140410166476,6.66,Star
HR 33,82.22695617386391,-75.06502028031484,60.136386762920935,4.89,Star
HR 34,26.29781612128456,-81.13411214519171,570.6321090973295,5.404,Star
HR 35,347.15691260573846,-78.33914533937357,70.72211815737128,5.239,Star
HR 36,116.16195118945127,-14.200062364395356,623.0609314207646,6.162,Star
HR 37,76.32152463768371,-77.1006304479157,692.2535392449379,5.265,Star
HR 38,114.54676769844772,-24.548798553491576,2041.3907524339302,6.708,Star
HR 39,109.43381640517232,-46.68448367890118,469.46622848958265,2.84,Star
HR 40,112.56293283480254,-35.11714450271434,174.5093175726483,6.277,Star
HR 41,115.26969818666025,-21.271467703173,121.50140460061678,0.0,Star
HR 42,38.26886456160185,-81.49316138312346,888.3410366094719,5.937,Star
HR 43,36.5172350807438,-81.54076755975127,784.414894577297,6.119,Star
HR 44,113.98929930170016,-29.01544713150131,330.4502264067752,6.25,Star
HR 45,111.30375434428389,-41.83184773437286,350.8526124570724,4.8,Star
HR 46,96.86906939593807,-68.76026141114573,504.9360607202294,5.12,Star
HR 47,303.90848044767046,-32.06181981708789,819.271878974256,5.77,Star
HR 48,75.10739259132438,-78.22594843647124,466.34947814433474,4.46,Star
HR 49,111.91780375666461,-39.805496365598756,455.62561952393077,6.234,Star
HR 50,107.86288296043278,-52.98080449361469,242.49351601746372,6.01,Star
HR 51,95.06344163386402,-70.43878051210883,358.54207521759616,5.749,Star
HR 52,113.9316364971714,-30.700452410206232,917.9826174489081,6.34,Star
HR 53,113.10158066869728,-34.89518178708862,448.4450150720066,6.342,Star
HR 54,345.79346204700937,-78.98717343651643,603.5337860100103,6.159,Star
HR 55,120.88948866589975,14.218823110927302,0.0,0.0,Star
HR 56,116.23275483117894,-18.819929304620157,319.43081574878374,6.15,Star
HR 57,1.5232817841466622,-81.18104614271964,440.8341016391108,5.642,Star
HR 58,305.7868076384203,-41.019116736396846,701.0000748255693,0.0,Star
HR 59,108.27731337081143,-53.63647659320751,422.2547666619365,6.121,Star
HR 60,118.83364029520263,-1.0638339529414547,683.9256253750773,5.737,Star
HR 61,72.1322572194755,-79.46601765634199,602.4970979635086,6.491,Star
HR 62,117.01230794545984,-14.529860385506977,1194.259900302527,5.852,Star
HR 63,115.61904827120438,-23.70191948264381,190.36997606355064,4.61,Star
HR 64,305.0680434993519,-38.204079730482434,363.02607309813925,6.776,Star
HR 65,117.5879738356419,-11.088439161600448,4322.240625025444,6.14,Star
HR 66,77.20826099659743,-78.78299828450552,159.54118600930678,6.446,Star
HR 67,105.89489518197126,-60.065466505114244,368.790071682944,6.176,Star
HR 68,115.58549244210043,-25.613762174196914,138.66489474221953,4.52,Star
HR 69,109.99588773460475,-50.83100599772914,380.51588269562524,6.045,Star
HR 70,116.7045888769049,-18.684435227380384,607.481256649246,6.11,Star
HR 71,114.79107935317421,-30.835503775532942,491.9167135136121,5.875,Star
HR 72,99.30266068752796,-69.40881713352886,76.43719328552191,6.46,Star
HR 73,323.1975528532838,-72.58145490783924,445.3469643590797,6.328,Star
HR 74,98.97953319639956,-70.19269822146165,253.76923122892663,3.55,Star
HR 75,116.4640910722589,-21.743268430268955,537.0233251578072,6.34,Star
HR 76,117.63426089650777,-13.683540071609022,924.3570720539642,6.53,Star
HR 77,308.32200280674556,-51.92394316942265,27.954700054000575,4.23,Star
HR 78,115.13026505626314,-31.465615769836553,568.0191072774306,5.869,Star
HR 79,115.5340059380147,-29.51947789627907,736.7883987590346,5.794,Star
HR 80,109.90692867955082,-53.899720055586904,450.9571802118016,5.37,Star
HR 81,110.92717002434311,-51.181881186737385,0.0,6.55,Star
HR 82,116.36960100566651,-24.516536489245574,162.83879006598627,5.18,Star
HR 83,306.8722130714458,-47.26709408707749,329.20093876141294,5.499,Star
HR 84,15.509894486465218,-83.14566057664778,338.34451537249106,5.167,Star
HR 85,77.51488959949177,-80.197912092445,821.6759776342416,5.74,Star
HR 86,112.19303642549815,-48.783362027847566,588.1408357647218,6.24,Star
HR 87,305.0416826356269,-39.57839225124681,802.7065596293447,5.959,Star
HR 88,97.35882222302754,-73.64577164182528,69.54289977381708,6.39,Star
HR 89,358.89392223532593,-82.70180284887086,575.9328025476194,6.547,Star
HR 90,117.07337946601008,-23.982748042715325,1233.386434761695,7.39,Star
HR 91,118.68392837198223,-10.627529923385085,0.0,5.58,Star
HR 92,120.09235934944051,1.412930449435402,11138.240298264716,0.0,Star
HR 93,119.79233365089132,-0.8781493038058806,888.5255324004543,5.377,Star
HR 94,107.2699052578053,-64.26840356856428,563.1244785173703,6.067,Star
HR 95,305.89533273256643,-44.88911352575006,14880.884732308277,4.09,KS
HR 96,118.9237251644401,-9.619922235187238,616.0304676213724,5.719,Star
HR 97,109.72942615887924,-60.26299543050523,593.9725117978983,5.77,Star
HR 98,304.77199567699296,-39.78209145842638,24.390952393122408,2.79,Star
HR 99,319.99977774132236,-73.97845492408743,81.70608648898654,2.38,Star
HR 100,318.4155659257041,-72.68174295863386,75.39365595508858,3.94,Star
HR 101,109.50191372761431,-62.27247856683733,417.20619209160446,6.192,Star
HR 102,47.835898597640735,-84.35451394713785,610.9825453637957,5.969,Star
HR 103,115.10305422250863,-44.62278506429355,570.3545500199117,5.06,Star
HR 104,118.56866502329748,-18.2805538767149,272.8136652006931,5.173,Star
HR 105,342.36071758762057,-82.22935656217855,521.8183497048634,4.81,Star
HR 106,114.89313557840642,-46.06383619470691,984.186980540645,6.039,Star
HR 107,113.61813327790469,-52.26363704035655,124.15925292244867,0.0,Star
HR 108,83.85325216093504,-81.39721854260543,0.0,6.44,Star
HR 109,321.93582481617796,-76.35286260664397,429.92612774349834,5.415,Star
HR 110,117.94072183924449,-25.75396522060266,602.1262581620701,6.273,Star
HR 111,311.89952113103476,-66.19797291814056,383.97770648847387,6.265,Star
HR 112,121.74483410524437,14.194977227080564,125.02470887066085,0.0,Star
HR 113,120.29160232403994,-2.7859515684951286,1018.5700597208139,5.94,Star
HR 114,117.42178498639535,-32.892036308200204,201.03153881581494,5.214,Star
HR 115,99.5851253442489,-76.74784043205109,138.82520060185632,6.131,Star
HR 116,344.9161217982743,-83.14980635251644,719.3051122891027,6.568,Star
HR 117,109.56737131679654,-66.27225260475993,568.1332620096238,5.72,Star
HR 118,66.8724672583886,-84.19097462813747,175.08694051754514,5.19,Star
HR 119,318.96913269604516,-75.52886987498617,441.7141259055267,6.172,Star
HR 120,312.51862384421764,-68.52059461440132,159.82950824718864,5.664,Star
HR 121,120.935927643252,3.7254778409595106,851.2650472968689,6.165,Star
HR 122,118.16247575839628,-29.104729400715055,377.5291056668884,5.878,Star
HR 123,120.05112710700517,-8.239428334642227,305.2928065260708,0.0,Star
HR 124,119.90624030896502,-9.916141543520107,335.2432574551836,5.596,Star
HR 125,311.74872746108457,-67.98056135533787,178.74326223029223,4.77,Star
HR 126,306.7787389497331,-54.0211991800464,140.8766154987617,4.289,Star
HR 127,306.77468052016974,-54.014075259278066,169.34120668989124,4.514,Star
HR 128,119.28561638064441,-19.242454944374124,0.0,6.71,Star
HR 129,121.4422838591296,8.162525689524692,485.0886297465793,6.38,Star
HR 130,120.83615097362683,0.13508681566895972,4752.098423007816,4.16,Star
HR 131,116.94745185771718,-42.35833012640352,274.62089768949795,5.37,Star
HR 132,114.54641149164677,-55.60593017757483,305.90222971779286,5.679,Star
HR 133,117.82209487981777,-35.103780580866335,753.3139270258672,6.7,Star
HR 134,117.96224687242301,-34.41176990183394,546.2170211322577,6.33,Star
HR 135,120.28283998738222,-7.8827883724938435,358.9204166157217,5.922,Star
HR 136,306.5354694649376,-53.965675421954145,150.56650404247804,5.09,Star
HR 137,121.2493956756699,3.9342173211732288,664.6548388771907,6.473,Star
HR 138,0.008170774287609199,-85.40012465244358,510.6005816098374,5.541,Star
HR 139,305.00849073639324,-45.78916718087927,454.6740582920073,6.109,Star
HR 140,308.96770101080614,-64.55578291918098,83.88263671613403,5.57,Star
HR 141,116.76508748804387,-49.302755850504596,440.12960386329087,6.39,Star
HR 142,112.89922079989626,-66.14871874254426,0.0,5.21,Star
HR 143,114.12239857877996,-63.10523355072644,188.08622910693424,5.936,Star
HR 144,120.66825607940655,-8.636039309613388,484.4201722504945,5.076,Star
HR 145,117.10966071855314,-49.489095267070795,132.6621496889424,0.0,Star
HR 146,121.07689571792983,-2.491560348746076,3047.367099021018,5.792,Star
HR 147,310.2662957464167,-68.90240833639781,114.72958280873623,5.51,Star
HR 148,307.8314663133235,-62.15503452169437,235.19408192526615,6.052,Star
HR 149,118.80861160157015,-35.496040824013825,706.9946659694042,6.501,Star
HR 150,105.74919363560487,-77.32860383744668,434.5311296401659,6.444,Star
HR 151,83.09111851986732,-84.48488185150708,165.38264673381397,6.06,Star
HR 152,120.17808842750263,-18.30473653800473,674.6163069647341,5.129,Star
HR 153,120.77573308504286,-8.914261165395471,422.1068547446521,3.66,Star
HR 154,119.46936370982233,-29.054515900209225,562.9010613986497,4.36,Star
HR 155,117.69856689771119,-47.4911151825809,955.046104100366,5.863,Star
HR 156,118.73889978715837,-38.741010044486615,370.530931348888,6.16,Star
HR 157,119.6999136296495,-27.38384338324988,976.0159478884552,5.431,Star
HR 158,122.52813011815613,19.631151135493166,107.51712375059049,6.389,Star
HR 159,68.84591747203783,-86.04938673965313,0.0,0.0,Star
HR 160,305.45689190031555,-51.93113599795543,706.763094941241,6.413,Star
HR 161,116.05829119223557,-59.55036077157095,653.8544965862176,6.407,Star
HR 162,307.4056260146499,-62.611493230083425,462.1702733987472,6.403,Star
HR 163,119.56509281129843,-33.47576642451524,168.38931930159004,4.38,Star
HR 164,120.87736502747804,-13.468193053303313,1452.5333511074136,5.419,Star
HR 165,119.8691276922401,-31.93872937597411,106.11774981209254,3.28,Star
HR 166,119.17265341577789,-41.53312041175776,36.260217852592895,5.88,Star
HR 167,119.36245818943567,-41.35345292990361,433.7258495436384,5.428,Star
HR 168,121.41640627969227,-6.302250724691063,231.46437502753776,2.23,Star
HR 169,304.21694158398554,-43.9587852227289,363.9668711695988,6.861,Star
HR 170,322.0933065015491,-82.73496452466156,137.30971499289916,6.69,Star
HR 171,309.65303790596687,-72.18063626744429,316.75867090572956,5.998,Star
HR 172,108.91768965749522,-79.08898671883871,441.37095503679586,6.49,Star
HR 173,85.84676419874586,-85.86665196385925,92.89047791469503,6.14,Star
HR 174,116.04863546395676,-67.08005215003409,623.342241296526,5.885,Star
HR 175,120.76253513390989,-23.369617532769308,337.9952018919803,5.33,Star
HR 176,305.5438123882817,-57.61777995412357,82.36981471759469,5.9,Star
HR 177,121.9822114361917,3.2931457199509175,549.4301506871145,5.821,Star
HR 178,120.08731063492078,-38.188393927880874,397.4006722124881,6.046,Star
HR 179,121.4068782052514,-12.331457453162724,1123.8239843665826,4.81,Star
HR 180,308.3065915739252,-70.93760334572715,236.06954000239426,4.59,Star
HR 181,121.77235275871783,-4.098247974072819,756.100933273266,6.171,Star
HR 182,121.17022263310743,-21.574361647722103,0.0,0.0,Star
HR 183,305.6465739424488,-60.57596618130641,222.01399398384174,5.7,Star
HR 184,121.52028523556916,-15.82535531540586,175.29644163081753,4.949,Star
HR 185,311.5406782861627,-78.51857311191115,0.0,0.0,Star
HR 186,304.91256942050853,-56.83182657096313,225.67787165267208,5.98,Star
HR 187,304.4309929524466,-51.634120666111485,136.34489006828278,5.381,Star
HR 188,111.3302565962146,-80.68107455866806,0.0,2.01,Star
HR 189,121.71635333296383,-14.991237966115639,716.9497740075824,5.648,Star
HR 190,115.83382471585948,-74.77869229368854,191.45950144323888,6.02,Star
HR 191,305.08214387571576,-59.63142412724474,255.11006009762843,4.361,Star
HR 192,122.54870563125637,12.12062889685574,307.922605399421,5.652,Star
HR 193,121.77819651028621,-14.572340109076206,693.2711471433445,4.5,Star
HR 194,116.68896311271014,-73.3933818170991,220.96083504026643,4.767,Star
HR 195,310.1235455993537,-78.60533917511937,325.90295418895937,5.96,Star
HR 196,122.04689905603918,-7.639778603044287,356.3760707133275,5.41,Star
HR 197,106.01885964474226,-84.6565166854336,88.66528511985256,5.22,Star
HR 198,307.3682715690142,-74.39576952680315,218.66556389163816,5.926,Star
HR 199,304.3094394057059,-54.612175970595054,0.0,0.0,Star
HR 200,122.50591729273474,6.457628739732449,135.08549157521202,0.0,Star
HR 201,119.00653198278755,-67.45489251789465,921.142094279634,6.16,Star
HR 202,305.0587220183239,-63.386762124480136,152.24262166744973,6.15,Star
HR 203,117.04811170739356,-75.6844268508376,105.73337452097965,6.15,Star
HR 204,122.18738054971995,-7.558867314105573,548.905528153593,6.51,Star
HR 205,121.95233059450938,-18.000247072063708,534.3954832227232,6.024,Star
HR 206,115.55390501537694,-79.21360906520891,0.0,6.499,Star
HR 207,122.33209494184958,-3.2916973473384985,2153.8429483354157,6.41,Star
HR 208,122.68675102869041,11.977569474221964,767.4174180319408,5.413,Star
HR 209,305.67426263253446,-69.54602332213288,48.99341719717965,5.794,Star
HR 210,108.17364574094019,-85.24289862210371,310.3545904296995,5.5,Star
HR 211,121.19230589855967,-47.379725102275486,770.175233283536,5.38,Star
HR 212,122.68364939706453,9.804333270059674,231.64734875542433,5.855,Star
HR 213,121.22089012932987,-50.883232270176244,265.21193850576907,5.504,Star
HR 214,121.5694409645648,-43.281901753781305,336.29902564978045,6.101,Star
HR 215,121.73657638139635,-38.59505490929337,180.1425274499976,4.06,Star
HR 216,121.13081208090135,-56.116632948013965,379.41499620211397,5.961,Star
HR 217,121.8256112747456,-41.93883231140848,206.60881287438968,0.0,Star
HR 218,117.34096149566007,-80.89270319625649,366.37455754973905,5.693,Star
