object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
NGC 1,111.10739685277984,-34.14738640420627,233658428.9802882,0.0,GX
NGC 2,111.10549358290216,-34.177424274590315,320867208.4361501,0.0,GX
NGC 3,104.58487588214749,-52.98986061130384,175798287.5772967,0.0,GX
NGC 4,104.66917866316713,-52.928362139136276,0.0,0.0,GX
NGC 5,112.98970842629797,-26.665894928555566,0.0,0.0,GX
NGC 7,13.994648404555585,-80.13821045835752,64729157.79542503,0.0,GX
NGC 8,110.52007236427349,-38.00226391011504,0.0,0.0,Star
NGC 9,110.55870971395086,-38.030967994564875,208740081.72443393,0.0,GX
NGC 10,354.2101588026425,-78.58564766339403,316567380.19021183,0.0,GX
NGC 11,113.61373459239435,-24.64950800385881,211545026.572606,0.0,GX
NGC 12,103.32440100617282,-56.62516236739004,180364476.8650187,0.0,GX
NGC 13,112.80476883101764,-28.598478649646808,194317446.70278633,0.0,GX
NGC 14,108.12510305500854,-45.824520171831345,18656144.804121286,0.0,GX
NGC 15,109.99934500320354,-40.18011463279211,278700624.7398887,0.0,GX
NGC 16,111.58603813081491,-34.20722007210078,123287110.76849379,12.06,GX
NGC 17,88.77639980607336,-72.25015168237873,271362106.2417641,13.52,GX
NGC 19,113.15297155878675,-29.11369922980368,202856220.6708265,0.0,GX
NGC 20,112.95358587214601,-28.74999635890112,217285378.82002795,0.0,GX
NGC 22,111.80233336864057,-34.13811192490085,356124712.86491776,0.0,GX
NGC 23,111.3677207763078,-36.013301311804625,185044820.88493374,0.0,GX
NGC 24,43.69156600183663,-80.43479236090076,26330855.260792475,11.58,GX
NGC 25,313.95945369205566,-59.211196697514744,424296831.74268144,15.5,GX
NGC 26,111.4929489632652,-36.12732628335969,223525837.513248,0.0,GX
NGC 27,112.26202538911554,-33.02687436627259,319315247.6722874,0.0,GX
NGC 28,313.8694438779824,-59.25968243794675,430428571.64333665,0.0,GX
NGC 29,113.25256795467418,-28.753626730087415,233968277.53909793,0.0,GX
NGC 31,313.81535938561876,-59.271423612020556,0.0,0.0,GX
NGC 34,88.77639980607336,-72.25015168237873,271362106.2417641,13.52,GX
NGC 35,88.9663258382336,-72.18326107931334,273808279.0744723,0.0,GX
NGC 36,105.34359983514138,-55.10831826843046,220587712.14418402,0.0,GX
NGC 37,313.64418383613804,-59.33009846221237,479670030.76575285,0.0,GX
NGC 38,97.50421372296184,-66.48033837570331,0.0,0.0,GX
NGC 39,113.15048816724199,-31.066489710043882,217741997.74880013,0.0,GX
NGC 40,120.01619990686487,9.86806495597004,5131.437468261444,11.46,PN
NGC 41,111.22167719882357,-39.96806159084445,280409684.15900755,0.0,GX
NGC 42,111.28254513590267,-39.89901742689279,263208196.79940343,0.0,GX
NGC 43,113.29286154382442,-31.236297004016034,211805951.67476153,0.0,GX
NGC 44,113.39206703496079,-30.860579007506562,0.0,0.0,undefined
NGC 45,55.90424568033136,-80.67190378754233,22071468.01626436,10.73,GX
NGC 46,106.33678731839949,-55.67843689206668,1437.3395193307078,11.68,Star
NGC 47,97.55125150803265,-68.20042714807552,256505683.23778293,0.0,GX
NGC 48,116.52357761506579,-14.17094725364669,0.0,0.0,GX
NGC 49,116.58254653965496,-14.167780341259888,213991199.4053142,0.0,GX
NGC 50,97.51023704607448,-68.38660133740835,216502603.51356134,0.0,GX
NGC 51,116.61926643608048,-14.163969378535835,239203087.4010935,0.0,GX
NGC 52,110.89718146257037,-43.42887157375145,262386282.72761345,0.0,GX
NGC 53,311.0973175385445,-56.21387502925588,225037028.72989884,0.0,GX
NGC 54,97.99472131332726,-68.20265579854095,230353377.686318,0.0,GX
NGC 55,332.88204160888097,-75.73091125113392,6398100.942439028,7.87,GX
NGC 56,109.3228380835738,-49.46711301526037,0.0,0.0,undefined
NGC 57,110.83058875737541,-44.69761145772911,245627280.8537481,0.0,GX
NGC 58,97.55125150803265,-68.20042714807552,256505683.23778293,0.0,GX
NGC 59,65.71073171103032,-80.02185640403653,16679637.155293051,12.59,GX
NGC 60,103.85961133195025,-61.85484433244838,0.0,14.86,GX
NGC 61,99.54674862039366,-67.58603250041642,0.0,0.0,GX
NGC 61A,99.54449153817285,-67.5889929625426,0.0,0.0,GX
NGC 61B,99.54728685788456,-67.58432745937756,0.0,0.0,GX
NGC 62,90.76671148646409,-74.17325660011689,237724511.8222121,0.0,GX
NGC 63,109.87440078829978,-50.56563729062656,60241082.96016085,0.0,GX
NGC 64,99.75040508036572,-68.15584585471588,333831924.4495036,0.0,GX
NGC 64 581,96.33728336969006,-60.188551946914465,0.0,0.0,Star
NGC 65,61.176747259555334,-81.51038246673487,333853668.2080165,0.0,GX
NGC 66,60.938177330162766,-81.56008712865848,302412193.39827365,0.0,GX
NGC 67,114.43808500226216,-32.2606767471958,0.0,0.0,GX
NGC 67A,96.33728336969006,-60.188551946914465,0.0,0.0,GX
NGC 68,114.4549591774416,-32.25417434531017,0.0,0.0,GX
NGC 69,114.45781994442224,-32.28662426378257,0.0,0.0,GX
NGC 70,114.4736398456103,-32.248625612237255,311740265.80033433,0.0,GX
NGC 71,114.47489214213584,-32.265240525405964,292333961.32751584,0.0,GX
NGC 72,114.49105247339776,-32.29020610232664,305706372.8129874,0.0,GX
NGC 72A,114.51558136760636,-32.297818223312,0.0,0.0,GX
NGC 73,88.43525638125423,-75.94832802805446,303966872.13195044,0.0,GX
NGC 74,114.58323185125961,-32.28033271071432,0.0,0.0,GX
NGC 75,108.78528260024352,-55.54099217514486,0.0,0.0,GX
NGC 76,114.76570698335375,-32.43301030053234,322927429.5552532,0.0,GX
NGC 77,64.05056650891225,-81.52320995299701,0.0,0.0,GX
NGC 78,106.76229779212386,-61.06187272976629,252771192.7131817,0.0,GX
NGC 78A,106.74444689506946,-61.067042415222716,0.0,0.0,GX
NGC 78B,106.76229779212386,-61.06187272976629,252771192.7131817,0.0,GX
NGC 79,113.79268176768164,-39.765281747949366,262197112.0285507,0.0,GX
NGC 80,113.79045439257197,-39.97693937125398,246778069.27304658,0.0,GX
NGC 81,113.80778284881693,-39.95293162604752,0.0,0.0,GX
NGC 83,113.8631765419398,-39.908154444235294,270660870.0297211,0.0,GX
NGC 84,113.94935759104878,-39.758013383362275,328798244.35375285,0.0,GX
NGC 85,113.89416396880138,-39.83275107247255,213186680.34033465,0.0,GX
NGC 85A,113.89416396880138,-39.83275107247255,213186680.34033465,0.0,GX
NGC 85B,113.91022265545945,-39.840582943443515,283051550.81833243,0.0,GX
NGC 86,113.91781230358872,-39.790294446349016,245921908.78159875,0.0,GX
NGC 87,316.17120765629596,-67.71443110505784,0.0,0.0,GX
NGC 88,316.1080433460337,-67.71170831856948,0.0,0.0,GX
NGC 89,316.0715654560591,-67.68957018630665,0.0,0.0,GX
NGC 90,114.00042803699648,-39.9582181332333,251792723.58009845,0.0,GX
NGC 91,113.99546347331945,-39.989734704489784,6647.737391846793,0.0,Star
NGC 92,316.05344932694936,-67.73439208999454,0.0,0.0,GX
NGC 93,114.06088493899611,-39.95695462368388,252379805.0599484,0.0,GX
NGC 94,114.12652008105057,-39.88874732574609,0.0,0.0,GX
NGC 95,111.29225839638528,-51.71875126377579,223332318.06248266,0.0,GX
NGC 96,114.15942276466222,-39.82851484903834,0.0,0.0,GX
NGC 97,115.46590521315987,-32.70657761708849,0.0,0.0,GX
NGC 98,318.5327851118922,-70.9825634545991,0.0,0.0,GX
NGC 99,113.30079567441696,-46.58754031550698,247465715.636019,13.65,GX
NGC 100,113.47931530486228,-45.88203421552944,58039527.41072347,0.0,GX
NGC 101,349.0897477710215,-81.94876920698076,149771008.63728136,0.0,GX
NGC 102,96.17848604898217,-75.41597926605064,327254437.4993326,0.0,GX
NGC 103,119.79462713536086,-1.3861109664583,9853.184170148668,9.8,OS
NGC 103 1,119.84641527797338,-1.394105917671259,11197.618588887082,13.27,Star
NGC 103 2,119.84539215980354,-1.399658588284461,4137.448412255035,17.27,Star
NGC 103 6,119.84000364728597,-1.3813255627472467,0.0,16.28,Star
NGC 103 7,119.8299492565858,-1.384210865733697,11082.17814825316,14.94,Star
NGC 103 8,119.82655243080893,-1.3764219109969873,0.0,15.81,Star
NGC 103 11,119.82056398844458,-1.37664697507031,0.0,16.52,Star
NGC 103 14,119.77581076174529,-1.3836920665772605,10877.631567795535,13.04,Star
NGC 103 15,119.7730087956636,-1.3903975512612963,11972.004501006653,13.86,Star
NGC 103 16,119.76575707017878,-1.3981244097938623,11170.86061094224,13.93,Star
NGC 103 17,119.76678189863102,-1.4042675809013718,12756.735332395145,14.38,Star
NGC 103 19,119.7957973487639,-1.4138809547571183,0.0,16.72,Star
NGC 103 20,119.79076143625377,-1.42556134658221,0.0,16.91,Star
