object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
SHAPLEY SUPERCL,306.44425723582464,29.705751031981528,593604607.403859,0,GxCl1
VIRGO-COMA SUPERCL,268.98469904414713,68.68547926872652,65000000.0,0,GxCl1
Pisces-Cetus Supercluster,87.4820297921978,-82.5675415737798,821914071.7899586,0,GxCl1
Ophiuchus Supercluster,311.53112552517024,32.31072830555331,390000000.0,0,GxCl1
PEGASUS-PISCES SUPERCL,103.48217289179537,-55.72277978099899,250000000.0,0,GxCl1
CET A SUPERCL,155.6432732469944,-60.60097277937361,200000000.0,0,GxCl1
UMa Supercluster,140.63220842483003,60.30246122559454,60000000.0,0,GxCl1
CrB Supercluster,46.17338312496497,56.27072872881769,964000000.0,0,GxCl1
Sculptor Supercluster,359.9828923786959,-84.89769626288495,400000000.0,0,GxCl1
Cl J1604 Supercluster,68.1452521220937,48.18719780790199,303325431.25581807,0,GxCl1
Pisces-Aries Supercluster,137.29551457323,-43.911859371673984,250000000.0,0,GxCl1
Lepus Supercluster,233.44210833183448,-24.083231690630456,528373331.86497337,0,GxCl1
Perseus-Pegasus Supercluster,95.47079397065016,-42.8827506548508,551204278.3035834,0,GxCl1
Pegasus-Pisces B Supercluster,101.02738960102225,-37.514164089320474,864314400.8902342,0,GxCl1
LEO SUPERCL,218.07060417394075,65.67831283921707,330000000.0,0,GxCl1
Coma Supercluster,217.196393237751,69.81454401319034,300000000.0,0,GxCl1
Great Attractor,279.12959295596164,10.328495180392943,250000000.0,0,GxCl1
HOROLOGIUM-RETICULUM SUPERCL,259.372305062888,-55.06342347277322,808867816.6821815,0,GxCl1
Laniakea Supercluster,96.33728336969006,-60.188551946914465,250000000.0,0,GxCl1
Bootes A Supercluster,27.437154350927543,60.80070473558424,929545676.4291198,0,GxCl1
Virgo Supercluster,283.9216250730289,74.51245060173422,65000000.0,0,GxCl1
Hydra-Cen Supercluster,308.3390398772672,29.334758233692977,127000000.0,0,GxCl1
Fornax-Eridanus Supercluster,231.28559278482342,-55.170316438044075,65000000.0,0,GxCl1
DRACO-URSA MAJORIS SUPERC,132.49820263972458,39.489042088036555,988253824.4141169,0,GxCl1
Hercules Supercluster,29.959506995508598,48.73928689874717,476188311.4338649,0,GxCl1
LEO-VIRGO SUPERCL,258.46888752540855,66.64128879829528,440000000.0,0,GxCl1
Piscis-Austinus Supercluster,350.08046241943407,-65.57689509571195,100000000.0,0,GxCl1
PISCES SUPERCL,130.45444339453675,-54.615034179005775,250000000.0,0,GxCl1
Aquarius-Cetus Supercluster,42.381550338166896,-46.13540964850701,766467487.5819058,0,GxCl1
HYDRA SUPERCL,225.49628093994306,29.407842168702143,189170699.06276825,0,GxCl1
Hercules-Corona Borealis Great Wall,60.00000448450656,29.99999942675075,975207569.3063397,0,GxCl1
Psc-Per Supercluster,142.59190153163036,-17.33763284437805,240000000.0,0,GxCl1
Bootes Supercluster,29.70014291421955,74.16510656204139,830000000.0,0,GxCl1
Leo A Supercluster,269.19808631122675,55.18066374220764,400000000.0,0,GxCl1
