object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,object_type
M1,184.554649,-5.783342,6500,GN
M2,53.370873,-35.769762,37500,KS
M3,42.216958,+78.706851,34000,KS
M4,350.972926,+15.972182,7200,KS
M5,3.858724,+46.796368,24500,KS
M6,356.583446,-0.76042,1600,OS
M7,355.812926,-4.513531,1000,OS
M8,5.957512,-1.16668,4300,GN
M9,5.544422,+10.705141,25800,KS
M10,15.137055,+23.075979,14000,KS
M11,27.303057,-2.772606,5000,OS
M12,15.715197,+26.313278,16000,KS
M13,59.009471,+40.911762,22000,KS
M14,21.323855,+14.804434,30000,KS
M15,65.01263,-27.312626,33600,KS
M16,16.961448,+0.810574,7000,GN
M17,15.095244,-0.74536,5000,GN
M18,14.192699,-1.003,4800,OS
M19,356.868643,+9.382675,28000,KS
M20,7.085887,-0.287324,5200,GN
M21,7.655988,-0.347516,4000,OS
M22,9.892256,-7.551641,10000,KS
M23,9.877856,+2.857525,2150,OS
M24,12.549939,-1.032906,10000,GN
M25,13.700942,-4.424975,2000,OS
M26,23.872643,-2.907749,5000,OS
M27,60.8361408924044,-3.6962713631712,2300,PN
M28,7.79821,-5.58068,18000,KS
M29,76.867631,+0.609817,4000,OS
M30,27.17915,-46.83551,28000,KS
M34,143.682649,-15.64597,1500,OS
M35,186.609319,+2.23003,2800,OS
M36,174.542721,+1.075588,4100,OS
M37,177.64216,+3.08641,4500,OS
M38,172.269938,+0.681867,3500,OS
M39,92.24586,-2.350656,1100,OS
M40,130.354294,+58.621588,1200,OS
M41,230.980022,-10.431645,2300,OS
M42,209.009474,-19.381776,1344,GN
M43,208.926553,-19.276108,1344,GN
M44,205.952501,+32.42781,570,OS
M45,166.462769,-23.614569,440,OS
M46,231.888849,+4.050509,5500,OS
M47,230.963637,+3.128464,1600,OS
M48,227.842044,+15.390208,1500,OS
M50,221.659975,-1.314845,3000,OS
M51,104.851585,+68.560702,27000000,GX
M52,112.815539,+0.432128,5000,OS
M53,332.962985,+79.764194,60000,KS
M54,5.607024,-14.087149,90000,KS
M55,8.792564,-23.271647,17000,KS
M56,62.659403,+8.336382,32900,KS
M57,63.1700861825471,+13.9780955028805,2300,PN
M62,353.57458,+7.31956,22500,KS
M63,105.9977353176866,+74.2875829276598,30000000,GX
M64,315.681974,+84.422965,17000000,GX
M67,215.6912,+31.9208,2700,OS
M68,299.62578,+36.05083,34000,KS
M69,1.72289,-10.26938,28000,KS
M70,2.85293,-12.50987,28000,KS
M71,56.74588,-04.56443,13000,OS
M72,35.16233,-32.68313,50000,KS
M73,35.724495,-33.953803,1500,OS
M74,138.6168076727335,-45.7052708002080,32000000,GX
M75,20.303075,-25.747962,67500,KS
M76,130.9335270448223,-10.5039545075556,2500,PN
M77,172.1037082138010,-51.9337915309647,47000000,GX
M78,205.328719,-14.31193,1600,GN
M79,227.22915,-29.35152,42000,KS
M80,352.67323,+19.46302,32600,KS
M92,68.33840,+34.85891,26000,KS
M93,240.0428,+0.1491,5500,OS
M97,148.4895345685390,+57.0499561582628,2000,PN
M101,102.036992,+59.771413,27000000,GX
M102,92.034020,+52.489061,40000000,GX
M103,128.0477,-1.7957,7200,OS
M104,298.46058621087,+51.14928244354,28000000,GX
M106,138.319686,+68.842396,25000000,GX
M107,3.37331,+23.01056,21000,KS
M108,148.314445,+56.251739,32000000,GX
M109,140.0915599634776,+61.9231420571752,82000000,GX
Proxima Centauri,313.9398620493784,-1.9271491330428,4.24,Star
Barnards Star,31.0087027177046,+14.0626510150033,5.958,Star
Wolf 359,244.0543969618636,+56.1197323657577,7.856,Star
Lalande21185,185.1184118680660,+65.4315738990821,8.304,Star
Gliese 65,175.487470608,-75.699408896,8.73,Star
UV Ceti,175.4885840357389,-75.6986707049320,8.73,Star
Ross 154,11.3071924699349,-10.2845404820555,9.706,Star
Ross 248,109.9908978693113,-16.9404142268422,10.306,Star
Epsilon Eridani,195.8446406895699,-48.0512999525119,10.5016,Star
Ross 128,270.1470898989605,+59.5591204198522,11.022,Star
EZ Aquarii,47.069636721,-56.979610304,11.089,Star
61 Cygni A,82.3197403091576,-5.8181041502094,11.4041,Star
61 Cygni B,82.3171310715589,-5.8262372280102,11.4037,Star
Epsilon Indi,336.1926307305795,-48.0448608239800,11.8669,Star
Tau Ceti,173.1006757445964,-73.4397246835404,11.912,Star
Gliese 725 A,89.2883561508051,+24.2307079948644,11.491,Star
Gliese 725 B,89.2846838768658,+24.2295380594028,11.491,Star
Groombridge 34,116.6769153816040,-18.4469471350724,11.619,Star
Lacaille 9352,5.1008135559570,-65.9570838521579,10.724,Star
G 51-15,197.0145898552318,+32.4208148424960,11.68,Star
YZ Ceti,149.7052567858707,-78.7596986819221,12.1219,Star
Beta Centauri,311.76696209,+1.25110442,390,Star
Beta Crucis,302.46225765,+3.17958611,279,Star
Alpha Crucis,300.126579,-0.362723,322,Star
Gliese 445,126.8472097362149,+37.9480684524301,17.6,Star
Sirius A,227.23029126,-8.89028121,8.58,Star
Sirius B,227.2316564388949,-8.8892179862002,8.58,Star
Canopus,261.21210208,-25.29220544,309,Star
Alpha Centauri A,315.73417134,-0.67965625,4.38,Star
Alpha Centauri B,315.73008383,-0.68171325,4.38,Star
Arktur,15.05005923,+69.11129459,36.7,Star
Wega,67.44820813,+19.23725227,25,Star
Capella,162.58847600,+04.56643053,42.4,Star
Rigel,209.24118506,-25.24534825,860,Star
Procyon A,213.70224138,+13.01939682,11.4,Star
Procyon B,213.7025875,+13.0181154,11.415,Star
Beteigeuze,199.78723619,-8.95860329,500,Star
Achernar,290.84124169,-58.79200969,139,Star
Hadar,311.76696209,+1.25110442,390,Star
Altair,47.74412569,-8.90918816,16.7,Star
Acrux,300.12657738,-0.36272479,322,Star
Aldebaran,180.97191142,-20.24829666,66.6,Star
Spika,316.11234750,+50.84455481,293.54,Star
Antares,351.94713737,+15.06432170,550,Star
Pollux,192.22928777,+23.40626890,33.8,Star
Fomalhaut,20.48814538,-64.90960178,25.1,Star
Becrux,302.46225765,+3.17958611,280,Star
Deneb,84.28473664,+1.99754611,1400,Star
Regulus,226.42735281,+48.93420887,77.49,Star
Adhara,239.83106158,-11.32975253,470,Star
Castor,187.44099817,+22.47926806,50.88,Star
Gacrux,300.16921089,+5.64975178,88.71,Star
Shaula,351.74436221,-2.21436679,600,Star
Bellatrix,196.92784561,-15.95320119,394.65,Star
Elnath,177.99440340,-3.74540398,134,Star
Miaplacidus,285.97840664,-14.40732174,113.2,Star
Alnilam,205.21207150,-17.24172893,1193.74,Star
Alnair,349.99848565,-52.47374323,101.4,Star
Alnitak,206.45218456,-16.58516461,800,Star
Gamma Velorum,262.80255563,-7.68581861,512,Star
Alioth,122.1800376477,+61.1646463243,82.6,Star
Mirfak,146.5686595353,-5.8624346530,506,Star
Kaus Australis,359.19382957,-9.80759182,143,Star
Dubhe,142.84873691,+51.00859152,124,Star
Wezen,238.4174676943,-8.2665547358,1600,Star
Alkaid,100.69557277,+65.32245640,103.9,Star
Avior,274.28550199,-12.60096644,600,Star
Sargas,347.13892434,-5.97573171,300,Star
