object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
ACO 262,136.58515717019563,-25.092403292801293,200000000.0,0.0,ClG
ACO 347,141.15880763366278,-17.631558718179086,250000000.0,0.0,ClG
ACO 3202,263.7429917733841,-46.52184600862198,920000000.0,0.0,ClG
ACO 3565,313.5368857122375,27.96733229846173,161000000.0,0.0,ClG
ACO 3581,323.1446091975199,32.85119562591808,278000000.0,0.0,ClG
ACO 3656,2.0770779488316893,-29.038476209608397,269000000.0,0.0,GrG
ACO 3698,19.198094002747247,-33.30936886735507,264000000.0,0.0,ClG
ACO 3742,352.5921008760727,-42.152447891384305,228309464.3860996,0.0,ClG
AM 1321-304,311.2579777942998,31.363177502610405,15519607.63862653,0.0,GX
Dwingeloo 1,138.51808410705735,-0.1114262637204859,13502874.036549319,0.0,GX
Dwingeloo 2,138.16362268751024,-0.1890177754634757,11350241.943766095,0.0,GX
ESO 157-47,262.5570106038706,-40.81170425481021,70094267.13030952,0.0,GX
ESO 157-49,260.9820424481587,-40.95807210791529,69777373.59374163,0.0,GX
ESO 302-14,241.45040066266682,-50.8839091916016,35877201.54638708,0.0,GX
ESO 302-9,241.72734693749547,-51.67936571180321,60241082.96016085,0.0,GX
ESO 357-12,237.30385080432671,-58.01932037587289,61911003.61395633,0.0,GX
ESO 357-7,232.86537496121105,-59.50439989947853,53391799.028577864,0.0,GX
ESO 358-50,233.91464239862358,-53.1057793823239,61822044.46194017,0.0,GX
ESO 358-51,235.76186195108204,-53.01754921924989,43729416.339380436,0.0,GX
ESO 358-60,236.88052440338188,-52.266901425378954,44813886.29521441,0.0,GX
ESO 358-9,236.35687083443347,-55.61665001737391,62964040.24888999,0.0,GX
ESO 359-3,233.55163003985587,-50.814996995955944,40432518.95485259,0.0,GX
ESO 482-46,223.3074173741404,-50.529261088270914,71633259.2953448,0.0,GX
ESO 549-18,214.83891959682336,-49.52486857893137,86483625.10945454,0.0,GX
HIDEEP J1336-3321,313.75917694881156,28.548573194491357,14814022.674880918,0.0,GX
HIJASS J1021+68,140.55191309964772,42.917539817073965,12067785.974693837,0.0,GX
IC 335,235.02636084587147,-54.258365059013826,64303034.48796727,0.0,GX
IC 342,138.17258204750644,10.579854815985092,10835660.367300773,0.0,GX
IC 346,209.37906689633806,-49.93034532990375,88225300.16634278,0.0,GX
IC 976,339.3572808003204,56.144754468819855,81533386.68699735,0.0,GX
IC 1014,7.213276979795723,63.755870247698105,85235533.37081052,0.0,GX
IC 1024,352.0066229213935,56.03734157308838,79117383.31922588,0.0,GX
IC 1066,358.87907623905306,52.424896192064075,89377719.36752975,0.0,GX
IC 1067,358.9333394618089,52.441668093500034,83202491.94984859,0.0,GX
IC 1070,359.32998935032055,52.40244601506401,83822189.067468,0.0,GX
IC 1574,101.19588550867554,-84.76143156084493,16238510.654461335,14.35,GX
IC 1613,129.74254509096002,-60.57534510953309,2390824.0954134655,10.01,GX
IC 1898,212.14151345187054,-58.22280574903201,63395481.0701484,0.0,GX
IC 1913,231.49166125303324,-57.585000126264646,67193649.74468042,0.0,GX
IC 1919,232.29793015058874,-56.22898139217486,59996465.67689004,0.0,GX
IC 1952,216.82436163255824,-53.41516431819583,73151439.57723196,0.0,GX
IC 1953,213.26633623922328,-52.759654811228366,81669556.97468477,0.0,GX
IC 1993,233.86332164473154,-51.85272291564023,44911733.20852274,0.0,GX
IC 2006,237.51247108620825,-50.38587107178387,62942744.95539636,0.0,GX
IC 2032,265.561291816794,-45.058753288045686,46640362.01030321,14.73,GX
IC 2038,266.3362378654121,-44.6019720429938,24000000.0,0.0,GX
IC 2049,269.50897211365236,-43.35092714918485,54468115.07496948,14.74,GX
IC 2056,271.3606136053611,-42.26397685472531,47520984.23007816,0.0,GX
IC 2058,265.7392948076009,-43.41512917374355,56849056.6321388,0.0,GX
IC 2085,263.1096825361838,-41.90823215493903,56653362.805522144,0.0,GX
IC 2574,140.20672811556733,43.607396977237755,12825963.654342676,10.87,GX
IC 2604,193.39847707777213,63.0711530881707,84474501.82285684,0.0,GX
IC 3687,131.9539093550683,78.46525297159407,14854093.315569093,0.0,GX
IC 4182,107.71212891925671,79.09638832455852,14615882.675431555,0.0,GX
IC 4247,311.90235268128487,31.89367173666012,16601359.624646386,14.28,GX
IC 4296,313.53831045978865,27.973008631046397,152945597.38017377,12.99,GX
IC 4316,315.66114005003914,32.76872413772816,13726524.12411121,15.93,GX
IC 4329,317.4438498216209,30.946096997417385,195878648.56401697,11.54,GX
IC 4374,323.14441952914297,32.8511679000933,332614273.97277766,0.0,GX
IC 5152,343.9189549051977,-50.19190919879401,6378686.872338171,10.9,GX
LEDA 621,351.4747722275643,-78.11534528117761,10474279.100815345,0.0,GX
LEDA 1038,357.8459835991839,-80.70970847670152,6354613.425413106,14.9,GX
LEDA 1641,320.41593655924686,-74.41757454278239,6501383.795375598,15.3,GX
LEDA 2881,119.7801348321614,-80.93438373063864,11246959.090829527,0.0,GX
LEDA 2933,121.0074300315671,-82.77428894535315,11670962.381832281,16.01,GX
LEDA 6430,273.07519053201287,-70.28917562513215,14677036.99624926,12.63,GX
LEDA 13809,235.85813878917307,-52.03922484865677,61210052.78874379,0.0,GX
LEDA 23521,143.8162179838802,33.01186067104769,11517979.509437516,0.0,GX
LEDA 28529,142.3138636882064,40.82730072556537,13443078.700638674,0.0,GX
LEDA 28731,142.5022539143525,41.283141942745864,11591597.663259972,0.0,GX
LEDA 28759,141.73703631076353,40.91959101424858,12627687.756402604,0.0,GX
LEDA 29167,141.91470116285063,41.713988052299825,12605943.997889642,0.0,GX
LEDA 29231,142.31108923947227,42.04743482227311,11891661.530738845,16.72,GX
LEDA 30664,141.1375207431264,43.997018316402105,11474181.367289979,0.0,GX
LEDA 31286,142.04591405100254,45.70584490178478,11095839.969164442,0.0,GX
LEDA 32667,136.88484723559824,44.23289914187083,12616815.877146125,0.0,GX
LEDA 45104,305.09931704754183,16.234436279134687,10507671.301388822,0.0,GX
LEDA 45717,306.3155438509843,15.752348931593406,12230864.16354105,0.0,GX
LEDA 45916,306.96902567703603,17.811737732917045,12217817.908433273,0.0,GX
LEDA 46663,308.54370381319194,17.479099607761444,12928838.811807126,0.0,GX
LEDA 46680,308.91888796004173,19.9803955060873,12485266.138142705,0.0,GX
LEDA 47171,310.17585729497586,20.883244482424562,12212226.656244228,0.0,GX
LEDA 48111,315.1198227235881,33.73823642911305,15734715.53534405,15.05,GX
LEDA 48515,312.21501847455687,16.751153250400282,11904707.785846623,0.0,GX
LEDA 48738,313.5051704855034,19.906318275105647,11505166.223170947,0.0,GX
LEDA 49615,317.7322534023304,25.646782138646447,14681696.373073468,0.0,GX
LEDA 50911,102.31508503388794,56.55851805332076,27971170.951074146,0.0,GX
LEDA 69468,17.73113787542795,-61.27633023724144,7305902.860355188,0.0,GX
LEDA 72675,322.4685565745515,-62.24060841107502,23222334.091843273,14.89,GX
LEDA 95594,140.4224672331431,22.345695586570507,14391650.165766636,0.0,GX
LEDA 166068,135.85406034021008,-0.8542451416444763,11350241.943766095,0.0,GX
