object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
Laniakea Supercluster,230.5998999999999,66.4223,250000000.0,0.0,SCG
Virgo Supercluster,283.9216250730289,74.51245060173422,65000000.0,0.0,SCG
Local Group,196.9036199999999,52.422479999999965,1500000.0,0.0,GrG
Milky Way Group,358.0361000000001,69.64230000000002,100000.0,0.0,GrG
M 1,184.55465500348814,-5.783339352016455,6523.12755388856,0.0,PN
M 2,53.37088107226786,-35.76976314846648,39138.76532333136,6.25,KS
M 3,42.21695053140951,78.70684949996298,32615.6377694428,6.39,KS
M 4,350.9729323661659,15.97217850675789,6523.12755388856,0.0,KS
M 5,3.858729178187626,46.79636544253885,25320.606788344096,5.95,KS
M 6,356.58345224415206,-0.760422991035772,1458.7162794395683,0.0,OS
M 7,355.8129323399771,-4.513534026495292,935.8649562469493,0.0,OS
M 8,5.957518413637774,-1.1666827290677575,4148.709124273124,0.0,OS
M 9,5.544427835431332,10.705137810104311,25800.0,8.42,KS
M 10,15.137060377428693,23.075976015454835,13046.25510777712,4.98,KS
M 11,27.303063557477454,-2.7726078907360865,6729.497565935081,5.8,OS
M 12,15.715202789604628,26.313275874920375,16307.8188847214,6.07,KS
M 13,59.009474605072015,40.91176144454107,26092.51021555424,5.8,KS
M 14,21.323860522888786,14.804431954527391,30000.0,5.73,KS
M 15,65.012637315375,-27.312625861888836,33039.64106044556,0.0,KS
M 16,16.961454070251225,0.810571515805454,5540.930919345911,0.0,OS
M 17,15.095250469470384,-0.745362442513275,5512.042783035834,0.0,OS
M 18,14.192705210101389,-1.0030025459389937,4331.356695782004,0.0,OS
M 19,356.86864900445386,9.382671826357956,28000.0,5.57,KS
M 20,7.085893637515013,-0.2873264847172545,3397.2448300651618,0.0,OS
M 21,7.655994198313807,-0.34751921257195595,3905.179028927951,0.0,OS
M 22,9.892262357409502,-7.551643429981747,9719.460055293954,0.0,KS
M 23,9.877862323790367,2.857522520836095,2233.8898773310702,0.0,OS
M 24,12.549945070282167,-1.0329085839865562,10000.0,0.0,OS
M 25,13.700948737478386,-4.424977491270467,2066.744246657025,0.0,OS
M 26,23.872649075144075,-2.9077509286974137,5543.353795294498,8.87,OS
M 27,60.83614089241078,-3.6962713634175075,998.2984623779721,14.089,PN
M 28,7.79820632964535,-5.580678136879709,17954.90859207826,0.0,KS
M 29,76.86763680161738,0.6098178130388443,4477.474752989107,6.6,OS
M 30,27.17914780304327,-46.83551301849333,22830.94643860996,7.1,KS
M 34,143.68265549267204,-15.64596697811571,1643.828143579917,0.0,OS
M 35,186.60932553137442,2.230033202920245,2938.1670899006185,0.0,OS
M 36,174.5427277246644,1.0755914221879943,3977.8031823612437,6.0,OS
M 37,177.64216668774694,3.086413354484388,4508.832359016014,0.0,OS
M 38,172.2699440251249,0.6818695875475445,3599.368596699223,6.4,OS
M 39,92.24586633387717,-2.350655017295327,1007.3339725092409,0.0,OS
M 40,130.35429777559295,58.62159063964861,1200.0,0.0,undefined
M 41,230.9800279727133,-10.431644264232535,2254.6608744475584,4.5,OS
M 42,209.00947950388093,-19.381774282431564,1532.1195842195755,0.0,GN
M 43,208.92655819693462,-19.276105497623284,1344.0,0.0,GN
M 44,205.95250883939303,32.4278123841429,603.3892987346919,0.0,OS
M 45,166.46277557723283,-23.614565738887002,436.7958689278823,0.0,OS
M 46,231.88885590789218,4.0505102358256035,4855.357901403983,0.0,OS
M 47,230.96364310689276,3.128465106570356,1609.0696584090217,0.0,OS
M 48,227.8420509511613,15.39020930600691,2514.66567202404,0.0,OS
M 50,221.65998100211883,-1.3148435825668634,3004.5525513210705,0.0,OS
M 52,112.81554564572863,0.43212976068197506,5952.877917503472,0.0,OS
M 53,332.9629936390512,79.76419054369389,60000.0,7.79,KS
M 54,5.607030505841504,-14.087151304615213,86803.25835959506,0.0,KS
M 55,8.792570908326487,-23.2716497701128,16307.8188847214,6.49,KS
M 56,62.65940899910508,8.336381533045493,32615.6377694428,0.0,KS
M 57,63.170086182598006,13.978095502628221,2688.0324638056245,15.769,PN
M 62,353.5745845826073,7.319558927375568,21624.167841140577,0.0,KS
M 67,215.691165900411,31.920791278308297,2910.8350286438754,0.0,OS
M 68,299.6257840509676,36.050829561438974,32615.6377694428,7.96,KS
M 69,1.7228886247291608,-10.269379135610967,28000.0,0.0,KS
M 70,2.8529294797342075,-12.509868878022973,29680.23037019295,0.0,KS
M 71,56.74588317596684,-4.564432510480322,13046.25510777712,0.0,KS
M 72,35.16233192598909,-32.68313184721072,55000.0,8.96,KS
M 73,35.72450324213625,-33.95380485466468,2235.7628303299807,0.0,undefined
M 75,20.30307520915687,-25.747961814004817,68492.83931582989,8.26,KS
M 76,130.93352704487182,-10.5039545077805,3558.3660806462094,17.48,PN
M 78,205.32872473605912,-14.31192732960292,1600.0,0.0,GN
M 79,227.22914772165885,-29.351518039095968,42400.32910027564,8.16,KS
M 80,352.67323403562057,19.463023894647225,31256.821376511158,0.0,KS
M 92,68.33839882971392,34.858906695416444,27212.313778971777,6.52,KS
M 93,240.04276785512113,0.14909986854075763,3377.887449048998,0.0,OS
M 97,148.48953456818478,57.049956158102795,2448.8987661738856,15.777,PN
M 103,128.0476786010642,-1.7957131602809682,7337.866185369241,7.4,OS
M 107,3.373305614026621,23.01056010762587,19569.38266166568,0.0,KS
Proxima Centauri,313.93986204938795,-1.9271491328276333,4.245468849655804,11.13,Star
Barnard's star,31.00870271778396,14.062651014864283,5.952136455338181,9.511,Star
Wolf 359,244.0543969616771,56.119732366012066,7.1894650335182755,13.507,Star
LAL 21185,185.11841186745187,65.43157389909686,8.307366018065927,7.52,Star
GJ 65,175.48747060882988,-75.69940889628766,8.73,12.08,Star
UV Cet,175.48858403687888,-75.69867070496562,8.74392632960992,0.0,Star
Ross 154,11.30719246989934,-10.284540482101193,13.79723016741854,10.43,Star
Ross 248,109.9908978693542,-16.94041422711673,10.126829371034294,0.0,Star
eps Eri,195.84464068989791,-48.05129995244374,10.473859756901167,3.73,Star
Ross 128,270.1470898989591,59.55912042014045,10.991143771924527,11.153,Star
EZ Aqr,47.06963672098007,-56.97961030452404,11.08931684161055,12.38,Star
61 Cyg A,82.31974030916861,-5.818104150493483,11.389054552711732,5.21,Star
61 Cyg B,82.31713107156989,-5.8262372282943256,11.409058810543655,6.03,Star
eps Ind,336.1926307303072,-48.044860823853504,11.867689036978303,4.69,Star
tau Cet,173.10067574557047,-73.43972468358598,11.831974913620764,3.5,Star
GJ 725 A,89.28835615082778,24.230707994576377,11.488695326097378,8.93,Star
GJ 725 B,89.2846838768885,24.22953805911471,11.490326107985851,9.78,Star
Gmb 34,116.67691538165998,-18.446947135334902,11.619320955363996,8.14,Star
Lacaille 9352,5.1008135553272975,-65.95708385217249,10.722553994893167,7.39,Star
G 51-15,197.01458985507077,32.42081484256984,11.67884449429323,0.0,Star
YZ Cet,149.70525678711115,-78.75969868207697,12.327895685905142,12.074,Star
Sirius A,227.2302912604535,-8.890281206231228,8.58,-1.46,Star
Sirius B,227.23165643894288,-8.88921798599607,8.932607794106147,8.44,Star
Canopus,261.21210208058505,-25.292205444358782,309.0,-0.74,Star
alf Cen A,315.73417133918474,-0.6796562480071233,4.34,0.01,Star
alf Cen B,315.7300838265927,-0.6817132488348769,4.34,1.33,Star
Arcturus,15.050059227620773,69.1112945908052,36.7,-0.05,Star
Vega,67.44820813405377,19.237252270616068,25.0,0.03,Star
Capella,162.58847599637204,4.566430528753894,42.400329100275634,0.08,Star
Rigel,209.2411850649265,-25.2453482533274,860.0,0.13,Star
Procyon A,213.70224137805923,13.019396824111878,11.4,0.37,Star
Procyon B,213.7025874692414,13.01811540323835,11.41547321930498,10.92,Star
Betelgeuse,199.7872361863758,-8.95860328596853,500.0,0.42,Star
Achernar,290.8412416940021,-58.79200968963357,139.0,0.46,Star
Hadar,311.7669620867492,1.251104417388562,390.0,0.58,Star
Altair,47.74412569454772,-8.90918815585872,16.7,0.76,Star
Acrux,300.1265773848604,-0.3627247851527768,322.0,0.0,Star
Aldebaran,180.97191141694378,-20.248296660569785,66.6,0.86,Star
Spica,316.112347496413,50.844554812765715,303.32543125581805,0.97,Star
Antares,351.9471373701792,15.064321702441054,550.0,0.91,Star
Pollux,192.22928776725976,23.406268896737632,33.8,1.14,Star
Fomalhaut,20.488145382149757,-64.90960177774325,25.1,1.16,Star
Mimosa,302.46225764708174,3.1795861118603455,280.0,1.25,Star
Deneb,84.28473664147708,1.9975461123840774,1400.0,1.25,Star
Regulus,226.42735280726845,48.93420887413584,77.49149377641915,1.4,Star
Adhara,239.83106157612846,-11.329752531546957,404.43390834109067,1.5,Star
Castor,187.4409981714943,22.479268058311327,50.88,1.58,Star
Gacrux,300.169210889397,5.649751780945314,88.71,1.64,Star
Shaula,351.7443622127362,-2.21436679444333,600.0,1.63,Star
Bellatrix,196.92784560982014,-15.95320119368159,394.64921701025787,1.64,Star
Elnath,177.99440339906636,-3.745403982890885,134.0,1.65,Star
Miaplacidus,285.97840664481555,-14.407321734780927,113.2,1.69,Star
Alnilam,205.21207149732675,-17.241728929072167,1193.7323423616065,1.69,Star
Alnair,349.9984856461432,-52.47374323293959,101.4,1.71,Star
Alnitak,206.45218456438798,-16.58516460581722,800.0,1.77,Star
gam Vel,262.80255562697596,-7.685818613717647,512.0655129802519,1.83,Star
Alioth,122.1800376474758,61.16464632401364,82.6,1.77,Star
Mirfak,146.56865953529154,-5.862434653167224,506.0,1.79,Star
Kaus Australis,359.1938295729034,-9.807591817213542,143.0,1.81,Star
Dubhe,142.84873691416593,51.00859152219225,124.0,1.79,Star
Wezen,238.41746769436844,-8.266554735572004,1600.0,1.84,Star
Alkaid,100.69557277293077,65.32245639807881,103.9,1.86,Star
Avior,274.2855019926664,-12.60096643788279,600.0,1.86,Star
Sargas,347.1389243355617,-5.9757317128202745,300.0,1.85,Star
Menkalinan,167.45684498372586,10.409441324503643,81.0,1.9,Star
Atria,321.53579545110574,-15.25882551772702,391.0,1.88,Star
Alhena,196.7736034602685,4.452590067400637,109.3,1.92,Star
Alsephina,272.07880183818787,-7.370899299938331,80.6,0.0,Star
Peacock,340.9043246920715,-35.19310696664592,183.29988426426854,1.918,Star
Polaris,123.28054966673604,26.46139597708484,430.0,2.02,Star
Mirzam,226.0598500109246,-14.268046417733176,493.0,1.97,Star
Alphard,241.4881420985039,29.045453748416083,180.0,1.97,Star
Hamal,144.57841271270536,-36.20553660321945,65.8,2.01,Star
Algieba,216.55164396273332,54.65232990536508,126.0,2.37,Star
Diphda,111.3302565962146,-80.68107455866806,96.32,2.01,Star
Nunki,9.555918749930578,-12.435156747096613,224.0,2.067,Star
Menkent,319.45356814506,24.07603163750237,59.0,2.05,Star
Alpheratz,111.73222781647081,-32.843356747293875,97.0,2.06,Star
Saiph,214.5143407950623,-18.496466795405457,799.0831253513486,2.06,Star
Mirach,127.1075879044824,-27.102820714364675,197.0,2.05,Star
Kochab,112.64721268502129,40.50263510132384,130.9,2.08,Star
Tiaki,346.26692104795006,-57.954054035370575,177.0,2.11,Star
Rasalhague,35.89375208457496,22.568054407551553,47.88,2.07,Star
Algol,148.97652586489147,-14.900261429223914,89.9,2.12,Star
Almach,136.96458467741294,-18.559014230684127,355.0,2.1,Star
Denebola,250.64029983118064,70.79975490270654,36.17400385008901,2.13,Star
gam Cas,123.57687600583925,-2.1484067522987242,500.650039760947,2.39,Star
Muliphein,228.2518612677048,-4.406192140000775,371.6718263580631,4.12,Star
Naos,255.97588293691376,-4.705685137495045,1090.0,2.25,Star
Aspidiske,278.45916595331147,-7.011147437962406,800.0,2.26,Star
Alphecca,41.86972852905154,53.77232873010039,77.21360854262349,2.24,Star
Suhail,265.9349877242762,2.8211175103596027,545.0,2.21,Star
Mizar,113.11050335973488,61.579073040275716,82.9,0.0,Star
Sadr,78.14859103269741,1.8670884434352333,1800.0,2.23,Star
Schedar,121.41640627969227,-6.302250724691063,231.46437502753776,2.23,Star
Eltanin,79.05496370989388,29.217336092997925,154.3,2.23,Star
Mintaka,203.8559221726233,-17.739733997627237,1238.0,2.41,Star
Caph,117.52807600174054,-3.2778548339449665,54.7,2.27,Star
eps Cen,310.19192259812945,8.721024979774146,430.0,2.3,Star
Dschubba,350.09692827135353,22.490425467996335,730.5902860355187,2.32,Star
Larawag,348.811082404036,6.560904225880537,63.71,2.29,Star
alf Lup,321.6107054332096,11.436556099444116,465.0,2.286,Star
eta Cen,322.77400418733447,16.669134901292825,306.0,2.31,Star
Merak,149.16608921863323,54.80408354847633,90.49632702422906,2.37,Star
Izar,39.38466480348574,64.7841872959903,235.8886862909627,2.45,Star
Enif,65.57098405413414,-31.457535644362117,690.0,2.39,Star
kap Sco,351.0437489555831,-4.719239313733034,480.0,2.386,Star
Ankaa,319.99977774132236,-73.97845492408743,81.70608648898654,2.38,Star
Phecda,140.83991337998162,61.38488230660889,83.2,2.44,Star
Sabik,6.721440515406831,14.007834333934664,88.0,2.42,Star
Scheat,95.74856001049942,-29.044922965900103,196.0,2.42,Star
Alderamin,100.99897698438907,9.17192871558951,49.046,2.46,Star
Aludra,242.6165305221429,-6.485717024084841,2000.0,2.45,Star
Markeb,241.9661351493747,-2.436962304351362,570.0,0.0,Star
Aljanah,75.95139618519575,-5.715340869809876,75.53944785591798,2.48,Star
Markab,88.27979025303611,-40.38106260493483,133.3,2.48,Star
Menkar,173.3159828553776,-45.59569258494326,249.0,2.53,Star
zet Oph,6.281242785511543,23.58773475935695,582.1483646373422,2.56,Star
zet Cen,314.0687425440198,14.192500977567343,382.0,2.55,Star
Zosma,224.2285148018778,66.8275220920627,57.70684790547514,2.53,Star
bet Sco,353.19291573551664,23.599672768628796,466.0,2.5,Star
Arneb,220.94712648906355,-25.141351504806597,1940.0,2.57,Star
del Cen,295.9963489130017,11.568282031334146,531.6348956419176,2.52,Star
gam Crv,290.98469665374205,44.50166399626534,154.0,2.58,Star
UY Sct,19.14357862029219,-0.47213952302203227,6313.519896199458,11.2,Star
Large Magellanic Cloud,280.46522149818975,-32.888401793515,163127.11230386817,0.4,GX
Small Magellanic Cloud,302.8083890743798,-44.327687896978915,196807.97680286094,2.2,GX
Andromeda Group,122.11385711349504,-22.575733217969947,2500000.0,0.0,GrG
Andromeda Galaxy,121.17432906422938,-21.57330879852804,2516063.4850713015,3.44,GX
Triangulum Galaxy,133.61019469854122,-31.33067895945953,2780393.9704350955,5.72,GX
M 32,121.15001697292713,-21.976333630433018,2533147.866760058,8.08,GX
M 110,120.71627948933171,-21.138699307042554,2568481.4743436202,8.07,GX
NGC 3109 Group,251.1365081453609,32.26009998285626,4316136.064822931,0.0,GrG
NGC 3109,262.1016452104308,23.070173917087327,4278578.663755088,10.04,GX
Maffei Group,138.3959737481383,10.634334569980055,10763160.463916125,0.0,GrG
IC 342,138.17258204750644,10.579854815985092,10835660.367300773,0.0,GX
Maffei 1,135.86194383103978,-0.5508348564986892,12752714.367852136,0.0,GX
Maffei 2,136.49854171036057,-0.3256570646096865,11717167.868672326,0.0,GX
Sculptor Group,287.6938825123025,-83.13345142412294,12000000.0,0.0,GrG
NGC 253,97.36385102317853,-87.96454692138065,11720266.354260424,0.0,GX
M81 Group,142.09179639554893,40.839727241489264,11840000.0,0.0,GrG
M 81,142.0918223603465,40.90005610671894,12050968.536468968,6.94,GX
M 82,141.40946701705738,40.56696186677169,12759860.157581622,8.41,GX
M 83 Group,314.6049341964694,31.969635865631254,12000000.0,0.0,GrG
