object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
Laniakea Supercluster,230.5998999999999,66.4223,250000000.0,0.0,SCG
Virgo Supercluster,283.9216250730289,74.51245060173422,65000000.0,0.0,SCG
Local Group,196.9036199999999,52.422479999999965,1500000.0,0.0,GrG
Milky Way Group,358.0361000000001,69.64230000000002,100000.0,0.0,GrG
 Large Magellanic Cloud,280.46522149818975,-32.888401793515,163127.11230386817,0.4,GX
 Small Magellanic Cloud,302.8083890743798,-44.327687896978915,196807.97680286094,2.2,GX
 Sgr Dwarf Galaxy,5.5681767163602816,-14.164803305826526,71754.40309277417,3.6,GX
 Sculptor Dwarf Galaxy,287.53339819558187,-83.15676542240443,269201.3202395385,8.6,GX
 Fornax Dwarf Galaxy,237.10383147654537,-65.65149370174429,450561.7389007313,7.4,GX
 Draco Dwarf Galaxy,86.37473078598146,34.717073051357524,275602.1391517917,10.6,GX
 Carina Dwarf Galaxy,260.11237613882247,-22.223479096836694,342464.19657914946,11.0,GX
 Phoenix Dwarf Galaxy,272.15911592920514,-68.94935000170113,1382087.6504801386,13.2,GX
 UMi Galaxy,104.96622885749761,44.800940382103256,232386.41910727997,10.6,GX
 Hercules Dwarf Galaxy,28.72802337896309,36.871263799785375,469665.18387997634,14.0,GX
 Sextans Dwarf Galaxy,243.49811408904915,42.27208961996483,289463.78520380484,10.4,GX
 Pisces I,126.76250352484809,-40.89391497964403,2087400.8172443395,14.3,GX
 Pisces II,79.20634166197055,-47.105798963652525,588712.2617384426,16.3,GX
 Coma Dwarf Galaxy,241.886720564991,83.61119052411115,135354.89674318762,14.1,GX
 UMa I Galaxy,159.43108301337628,54.41432967054263,321508.64931228245,14.4,GX
 UMa II Galaxy,152.46425493386528,37.44290116255897,103310.03263471008,13.3,GX
 CVn I dSph,74.30574797127437,79.82286396200934,715369.6550764454,13.1,GX
 CVn II dSph,113.58807681374414,82.70415487703235,521850.20431108476,16.1,GX
 Leo I Dwarf Galaxy,225.98565260335437,49.11249101500998,824360.2446226669,10.0,GX
 Leo II Dwarf Galaxy,220.16432205908075,67.22912267196526,754819.0455213905,12.0,GX
 Leo IV Dwarf Galaxy,265.44134253070496,56.514405462000475,515327.07675719634,15.1,GX
 Leo V,261.8624411735513,58.53743317853024,587081.4798499704,16.0,GX
 Leo T Dwarf,214.85241190400595,43.66094068963105,1350287.403654932,15.1,GX
 Bootes I,358.03614216653506,69.64231818808045,216567.8347891002,12.8,GX
 Bootes II,353.69402026378566,68.87087697538054,133724.11485471547,15.4,GX
 Bootes III,35.30072391063198,75.36830966329475,159816.6250702697,12.6,GX
 Segue 2,149.4328587080245,-38.135172458399936,106000.82275068908,15.2,GX
Andromeda Group,122.11385711349504,-22.575733217969947,2000000.0,0.0,GrG
 Andromeda Galaxy,121.17432906422938,-21.57330879852804,2516063.4850713015,3.44,GX
 Triangulum Galaxy,133.61019469854122,-31.33067895945953,2771696.467029911,5.72,GX
M 32,121.15001697292713,-21.976333630433018,2533147.866760058,8.08,GX
M 110,120.71627948933171,-21.138699307042554,2568481.4743436202,8.07,GX
NGC 185,120.79175702029069,-14.482402856898108,2109144.575757301,9.2,GX
NGC 147,119.81740865306097,-14.252699558398344,2373693.6376650035,9.5,GX
 Pegasus Dwarf,106.04157972858394,-36.32458278070884,2981069.292127072,13.2,GX
 Andromeda I,121.67928523775203,-24.816601957559712,2433670.171563257,12.7,GX
 Andromeda II,128.91876738056442,-29.161078651234167,2125452.3946420224,11.7,GX
 Andromeda III,119.37486541204275,-26.264282429195585,2415187.9768272396,14.4,GX
 Andromeda V,126.21943194512666,-15.12330558804335,2551847.4990812046,15.3,GX
 Pegasus Dwarf Galaxy,94.7713908680442,-43.55221710358593,3457257.6035609366,12.52,GX
 Cassiopeia Dwarf Galaxy,109.4588362428369,-9.961067511701161,2633712.749882506,11.8,GX
 Andromeda IX,123.21169306714177,-19.675129079930954,2266786.8249762747,16.3,GX
 Andromeda X,125.75146348585803,-17.984546638397102,2120016.4550137823,16.6,GX
 Andromeda XI,121.71879227802482,-29.0583346490626,2416003.367771475,17.5,GX
 Andromeda XII,121.99568526264365,-28.4897758166745,2868545.341822494,18.3,GX
 Pisces III,123.03155517685275,-29.867223423424253,2650020.5687672277,18.1,GX
 Pisces IV,122.96965553812115,-33.174792487119355,2481234.6433103606,15.9,GX
 Andromeda XV,127.87532159455046,-24.534595070523473,2263525.2611993304,14.6,GX
 Pisces V,124.90592719388945,-30.46419113839794,1627520.324695196,14.4,GX
 Andromeda XVII,120.23207523066284,-18.47443783456933,2394803.203221338,15.8,GX
 Andromeda XVIII,113.88795754278324,-16.91720289604107,4144795.2477407916,16.0,GX
 Andromeda XIX,115.58238419408266,-27.372415848003786,2854683.695770481,15.6,GX
 Andromeda XX,112.87298388117142,-26.879970353371984,2512219.4991913317,18.2,GX
 Andromeda XXI,111.9169009027212,-19.186183035675132,2753575.2186852084,14.8,GX
 Andromeda XXII,132.58700477340525,-34.10134571053348,2747867.482075556,18.0,GX
 Andromeda XXIII,130.9919213225912,-23.558584200705912,2420080.322492656,14.2,GX
 Andromeda XXIV,127.7892581337659,-16.250249302229726,2054785.1794748965,16.3,GX
 Andromeda XXV,119.15059902333911,-15.86343477615803,2620122.900811905,14.8,GX
 Andromeda XXVI,118.14354707004473,-14.69813870157413,2478788.4704776527,17.3,GX
 Andromeda XXVII,120.35899914451696,-17.414920060164917,2837560.4859415237,16.7,GX
 Andromeda XXVIII,91.03119459774376,-22.92537370044379,2120016.4550137823,15.6,GX
 Andromeda XXIX,109.80158023651708,-30.773804545094112,2380941.5571693243,16.0,GX
 Cassiopeia II,120.46324072309736,-13.153856790658725,2218950.5562477587,0.0,GX
 Andromeda XXXI,101.10124792048846,-16.73415298700509,2478788.4704776527,0.0,GX
 Cassiopeia III,120.48510594610435,-11.238641662528016,2544019.7460165387,0.0,GX
 Perseus I Dwarf Galaxy,147.81684931467933,-15.520285647569631,2576635.383785981,0.0,GX
